Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event typetipo de decaimento
39.5468649959, 0.739051227137, 0.0186879851845, 0.0484241927285, 3.14159265359, 67.238623382, 13.0429187826, 0.39983302033, 0.0306551797949, 9.16514549001, 0.196424841698, 0.0214317210689, -2456.65807567, 18.2782105395, 14.0413378308, 4, 3
62.8359474948, 1.9535685804, 0.0310899836525, 0.037446154859, 3.14159265359, 141.147663954, 12.6497288689, 0.313154023764, 0.0247557893936, 30.8632566908, 1.3478162488, 0.0436705776809, -2473.4228602, 8.60408187, -4.07037102673, 4, 3
29.5765231596, 0.44049438967, 0.0148933797016, 0.01231261517, 3.14159265359, 55.4318360999, 3.88359112677, 0.0807809207355, 0.0208005730002, 15.9534182574, 0.139818549737, 0.00876417501761, -2419.06109338, -11.6666910417, 14.9676379148, 4, 3
49.5816975259, 0.86372369793, 0.0174202123168, 0.0306373492139, 3.14159265359, 77.7505737111, 19.0699993082, 0.551718054454, 0.028931204744, 13.5000292961, 0.0324477703556, 0.00240353332899, -2435.40593565, -7.22865137411, 10.3970219324, 4, 3
8.88218283255, 0.266933798837, 0.0300527250867, 0.0531264079446, 3.14159263252, 91.8422635419, 2.49267941507, 0.178850126286, 0.0717501517461, 2.52222784894, 0.0505122854771, 0.0200268526487, -399.480561281, 111.252373269, 78.8567147028, 4, 3
43.6634617823, 2.55880298291, 0.0586028427078, 0.0282347211479, 3.14159265359, 317.040386609, 20.143701662, 1.38131096228, 0.0685728465135, 19.9132232517, 1.4249952142, 0.0715602489954, -2450.89681773, 23.6382148202, 33.6691469801, 4, 3
33.8889897025, 1.12024311383, 0.033056255842, 0.0328426447697, 3.14159265359, 228.291460417, 11.3365744636, 0.57311919592, 0.0505548830259, 15.1568147632, 0.587371778723, 0.0387529825957, -1281.48831325, 18.7425007809, -29.7102705463, 4, 3
27.9794691009, 0.353334311248, 0.012628342231, 0.0150682793763, 3.14159263252, 25.5869862201, 9.2641672797, 0.141421532118, 0.0152654337782, 7.44504475018, 0.221655565185, 0.0297722273838, -2460.82129429, -21.1829045468, -29.888458253, 4, 3
33.8436468137, 0.915705867093, 0.0270569502198, 0.0176306380845, 3.14159265359, 218.903590931, 20.5459341724, 0.635996377459, 0.0309548532631, 6.98558793988, 0.292168578015, 0.041824479275, -2432.96120963, -14.2949784963, 91.177059207, 4, 3
16.0121115473, 0.408003324915, 0.025480919472, 0.0344814227287, 3.14159265359, 213.300742557, 6.98558797893, 0.292168579649, 0.041824479275, 2.71416879011, 0.10114013035, 0.0372637585101, -2446.20270969, -13.7968481782, 90.4270988099, 4, 3
