Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event typetipo de decaimento
23.1247304403, 1.33666165912, 0.0578022590389, 0.0425165218611, 3.14159263869, 204.855693652, 1.65355035242, 0.0571925171066, 0.034587708214, 8.96491678354, 0.50645847004, 0.0564933821772, -901.533118537, -72.7275771463, -145.078759775, 4, 3
40.3059248019, 1.04012789293, 0.025805831228, 0.0112297294982, 3.14159263869, 164.644456178, 9.96196092642, 0.188740414058, 0.0189461106555, 11.6116087017, 0.208621759704, 0.0179666543253, -2323.57960381, -48.2977105215, 5.20826449215, 4, 3
23.0302768492, 0.439006540959, 0.0190621477906, 0.0750271714076, 3.14159265359, 95.5010136582, 6.62048197751, 0.0245393034124, 0.00370657355397, 4.71395370408, 0.354666685574, 0.0752376259587, -1967.61610905, 63.6892621939, -8.80150181193, 4, 3
36.5049522449, 0.450946106833, 0.0123530118272, 0.00792718577841, 3.14159265359, 97.0198868847, 22.9835873829, 0.20299987286, 0.0088323841478, 11.3615378563, 0.0627774959608, 0.00552544002008, 443.572954135, -8.57946942517, 0.588756474003, 4, 3
64.0875693766, 0.777606951634, 0.0121335066878, 0.0396408271107, 3.14159265359, 63.5884040277, 39.0006108101, 0.355379054016, 0.0091121407238, 13.9717213309, 0.467831315082, 0.0334841573205, -2459.05786471, 8.8866068766, 5.25587145044, 4, 3
53.9157412026, 0.128963650002, 0.00239194801231, 0.0328102421195, 3.14159265359, 19.2393262128, 31.6038597182, 0.252211151887, 0.00798039081733, 10.4893616954, 0.260863944887, 0.0248693821857, -2338.66419677, -23.6286126276, -0.811161868933, 4, 3
47.7199968877, 0.570210033173, 0.0119490794292, 0.00703004559956, 3.14159263869, 11.8512416574, 20.5606819327, 0.0677336036903, 0.00329432671114, 5.38831481375, 0.0382543822905, 0.00709950765922, -2317.84521671, 61.00894163, -30.0466419347, 4, 3
110.545354326, 1.90756381594, 0.0172559383212, 0.00862365641707, 3.14159265359, 63.9240458957, 26.0102355042, 0.540468702685, 0.0207790776288, 77.409617745, 1.39240918092, 0.0179875475617, -2472.98612775, -21.2780732282, -4.72469222139, 4, 3
109.801259058, 1.88259105541, 0.0171454414236, 0.0102168188322, 3.14159265359, 66.9453128715, 77.4096177406, 1.39240918085, 0.0179875475617, 25.4114337993, 0.559730057929, 0.0220267011437, -2471.83212693, -21.7080192859, -5.16322208815, 4, 3
11.5743254756, 0.101768257035, 0.00879258642328, 0.0893767970657, 3.14159265359, 37.537863477, 4.09476623481, 0.181396420975, 0.0442995791634, 5.19112802822, 0.265094128691, 0.0510667676177, -2257.98547719, -16.6747533078, -15.6235309037, 4, 3
51.9214855586, 1.76339370719, 0.0339626974887, 0.0782159601793, 3.14159263869, 175.393604869, 31.6096641676, 1.71671354871, 0.0543097686712, 9.11256668226, 0.486038545034, 0.0533371729372, -2476.18532504, 11.0741229059, 8.57115517193, 4, 3
26.8104962345, 1.05437089838, 0.0393267953401, 0.0144620386068, 3.14159263869, 187.560160797, 6.09992848491, 0.252456191145, 0.0413867460527, 11.0914065177, 0.308871567769, 0.0278478268086, -2471.67622362, -18.302855429, 9.30101996048, 4, 3
7.23787481602, 0.179853965038, 0.0248490018976, 0.0701951834107, 3.14159265359, 78.2566692945, 1.73188273165, 0.0475395968825, 0.0274496627363, 1.75768399485, 0.0835518874496, 0.0475352154848, 332.039183689, -83.6885759324, -84.2102455744, 4, 3
31.132031584, 0.163993989805, 0.00526769315914, 0.0518908487469, 3.14159265359, 45.0427169606, 9.45367733371, 0.229532053694, 0.0242796581258, 15.5179310668, 0.44426629409, 0.0286292220386, -2470.12140526, -31.4488075593, 13.7542813269, 4, 3
