Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Decay Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c), Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c), Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), Event type
29.5040001512, 1.76886546345, 0.0599534115504, 0.0945737935183, 3.14159263869, 306.324237697, 6.63711883089, 0.149514256708, 0.0225269820411, 22.8467429749, 1.84204164607, 0.0806260064328, -2440.2075165, 0.821006031374, -23.6974397518, 1
36.9309014575, 1.39845772722, 0.0378668722404, 0.0736932489671, 3.14159263252, 292.688116376, 1.99967296828, 0.080007626484, 0.0400103555696, 34.8198317119, 1.42682575095, 0.040977387908, 1842.59309611, -54.5445129856, -15.2448311686, 1
30.0306360008, 0.352834211078, 0.011749142145, 0.0882286330374, 3.14159265359, 62.0008841293, 26.172395929, 0.595919896627, 0.0227690234491, 3.84470176207, 0.252028366339, 0.0655521239192, -2015.30944714, -12.8382601561, 6.60593880095, 1
9.95634377289, 0.42136081691, 0.0423208385048, 0.189898288953, 3.14159263869, 304.738239688, 8.03875155368, 0.420337199097, 0.0522888655397, 1.22632348006, 0.168402672933, 0.137323206863, 832.339014684, -31.1799218516, 48.7981302862, 1
18.9052453675, 2.25397490718, 0.119224842808, 0.0216047073463, 3.14159263869, 838.757607515, 18.4912653575, 2.21152048405, 0.11959811518, 0.417631933236, 0.0489824760793, 0.11728623264, 1031.2427907, 4.60006543219, 160.847380026, 1
42.0545576707, 2.32541872424, 0.0552952843411, 0.163611375101, 3.14159263869, 241.70787705, 38.4584008763, 2.65170903091, 0.0689500595577, 3.73205548608, 0.359397970448, 0.0963002752206, 31.6394157017, 21.462499026, 174.819562685, 1
32.6991874578, 2.15431348143, 0.0658827833018, 0.155595120948, 3.14159265359, 684.017494183, 28.6807673048, 2.17528436913, 0.0758447061758, 2.52192950165, 0.264107907631, 0.104724540261, 1318.02368777, -50.0456303956, -113.516608335, 1
57.5728300507, 1.11099616756, 0.0192972304225, 0.0463411980469, 3.14159265359, 111.45618977, 56.7977523645, 1.06142456366, 0.0186877916726, 0.79031523316, 0.0513028668444, 0.0649144350151, 1077.54993962, 34.7326717802, 50.222455974, 1
16.4574580586, 0.848046537138, 0.0515296186153, 0.167660786783, 3.14159265359, 291.134422411, 10.4317275947, 0.856236418593, 0.0820800208616, 6.09370259442, 0.53877000959, 0.0884142278429, -1704.42980502, -0.876107213149, -106.173531799, 1
106.865948229, 3.96959754959, 0.0371455792548, 0.0101691601562, 3.14159265359, 420.116350829, 102.470678812, 3.80505421709, 0.0371331024756, 1.19202020206, 0.0562257381515, 0.0471684440032, 354.35375641, 128.525937719, 53.0565573225, 1
2.82156890569, 0.133700457759, 0.0473851471391, 0.189724924277, 3.14159265359, 339.921795436, 2.01437702377, 0.0702469114893, 0.0348727724057, 0.818196528318, 0.141758627144, 0.173257429282, 611.663312313, 4.72623631463, 65.2969897083, 1
